"vItemNumber","vLocation","vDescription","vShortDesc","vLook","vGenColor","vGenItemType","vMetalColor","vSizeType","vMetalType","vKeywords","vOnSale","vFeaturedItem","vSorting","vAggregation","vMaterialDesc","vFeatureDesc","vDetailDesc","itemprice_1","itemprice_2","imagefilename"
"C181190416","400","Oxidized metals meet genuine gemstones. Layer The Wanderlust Hammered Cuff for a killer look! Can you say, game changer!","The Wanderlust Hammered Cuff","Boho Traveler Cali","Maroon","Bracelets","Bronze",,"Brass","Hammered, cuff, stone, semiprecious, red, agate","N","N",512,"C181190214","Bronze tone plating over brass with red agate","Adjustable | Style # C18119","Designed in the USA",11.5,32.99,"https://www.cosmostylejewelry.com/CosmoImg/C181190416.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181190416-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181190416-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181190416-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181190416-5.JPG"
"C181190420","400","Oxidized metals meet genuine gemstones. Layer The Wanderlust Hammered Cuff for a killer look! Can you say, game changer!","The Wanderlust Hammered Cuff","Boho Traveler Cali","Grey","Bracelets","Bronze",,"Brass","Hammered, cuff, stone, semiprecious, labradorite","N","N",512,"C181190214","Bronze tone plating over brass with labradorite","Adjustable | Style # C18119","Designed in the USA",11.5,32.99,"https://www.cosmostylejewelry.com/CosmoImg/C181190420.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181190420-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181190420-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181190420-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181190420-5.JPG"
"C181210105","400","Constantly talking with your hands and looking to make a major fashion statement? Not to worry, the Midnight Statement Ring is the perfect piece to add to your ensemble!","The Midnight Statement Ring","VIP","Gold","Rings","Gold",,"Brass","Cocktail, rhinestone","N","N",740,"C181210627","Gold tone plating over metal base with glass crystal accents","Adjustable | Style # C18121","Designed in the USA",6.5,19.99,"https://www.cosmostylejewelry.com/CosmoImg/C181210105.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181210105-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181210105-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181210105-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181210105-5.JPG"
"C181210202","400","Constantly talking with your hands and looking to make a major fashion statement? Not to worry, the Midnight Statement Ring is the perfect piece to add to your ensemble!","The Midnight Statement Ring","VIP","Silver","Rings","Silver",,"Brass","Cocktail, rhinestone","N","N",740,"C181210627","Silver tone plating over metal base with glass crystal accents","Adjustable | Style # C18121","Designed in the USA",6.5,19.99,"https://www.cosmostylejewelry.com/CosmoImg/C181210202.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181210202-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181210202-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181210202-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181210202-5.JPG"
"C181210627","400","Constantly talking with your hands and looking to make a major fashion statement? Not to worry, the Midnight Statement Ring is the perfect piece to add to your ensemble!","The Midnight Statement Ring","VIP","Black","Rings","Black",,"Brass","Cocktail, rhinestone","N","N",740,"C181210627","Gunmetal plating over metal base with glass crystal accents","Adjustable | Style # C18121","Designed in the USA",6.5,19.99,"https://www.cosmostylejewelry.com/CosmoImg/C181210627.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181210627-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181210627-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181210627-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181210627-5.JPG"
"C181220105","400","Chunky rhinestones and dainty sparkles- the combination you've been looking for to complement your favorite outfits. The Invitation Only Double Ring is perfect for you since your hands are half of your expression when you're chatting with your girlfriends.","The Invitation Only Double Ring","VIP","Gold","Rings","Gold",,"Brass","Double, open,cocktail, rhinestone","N","N",741,"C181220606","Gold tone plating over metal base with glass crystal accents","Adjustable | Style # C18122","Designed in the USA",9.5,29.99,"https://www.cosmostylejewelry.com/CosmoImg/C181220105.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181220105-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181220105-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181220105-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181220105-5.JPG"
"C181220202","400","Chunky rhinestones and dainty sparkles- the combination you've been looking for to complement your favorite outfits. The Invitation Only Double Ring is perfect for you since your hands are half of your expression when you're chatting with your girlfriends.","The Invitation Only Double Ring","VIP","Silver","Rings","Silver",,"Brass","Double, open,cocktail, rhinestone","N","N",741,"C181220606","Silver tone plating over metal base with glass crystal accents","Adjustable | Style # C18122","Designed in the USA",9.5,29.99,"https://www.cosmostylejewelry.com/CosmoImg/C181220202.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181220202-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181220202-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181220202-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181220202-5.JPG"
"C181220606","400","Chunky rhinestones and dainty sparkles- the combination you've been looking for to complement your favorite outfits. The Invitation Only Double Ring is perfect for you since your hands are half of your expression when you're chatting with your girlfriends.","The Invitation Only Double Ring","VIP","Gunmetal","Rings","Gunmetal",,"Brass","Double, open,cocktail, rhinestone","N","N",741,"C181220606","Gunmetal plating over metal base with glass crystal accents","Adjustable | Style # C18122","Designed in the USA",9.5,29.99,"https://www.cosmostylejewelry.com/CosmoImg/C181220606.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181220606-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181220606-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181220606-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181220606-5.JPG"
"C181230101","400","Chunky glass crystals in gunmetal, gold and silver tones, this is the ultimate glam look! Complement your outfit with The Black Tie Crystal Ear Climbers for date night, he will have all eyes on you!","The Black-Tie Crystal Ear Climbers","VIP","Gold","Earrings","Gold",,"Brass","Ear climber, earring, rhinestone, crystal","N","N",730,"C181230627","Gold plating over metal base with glass crystal accents","Shiny metal posts | Style # C18123","Designed in the USA",7.5,24.99,"https://www.cosmostylejewelry.com/CosmoImg/C181230101.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181230101-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181230101-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181230101-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181230101-5.JPG"
"C181230602","400","Chunky glass crystals in gunmetal, gold and silver tones, this is the ultimate glam look! Complement your outfit with The Black Tie Crystal Ear Climbers for date night, he will have all eyes on you!","The Black-Tie Crystal Ear Climbers","VIP","Gunmetal","Earrings","Gunmetal",,"Brass","Ear climber, earring, rhinestone, crystal","N","N",730,"C181230627","Gunmetal plating over metal base with metallic coated crystal accents","Shiny metal posts | Style # C18123","Designed in the USA",7.5,24.99,"https://www.cosmostylejewelry.com/CosmoImg/C181230602.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181230602-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181230602-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181230602-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181230602-5.JPG"
"C181230627","400","Chunky glass crystals in gunmetal, gold and silver tones, this is the ultimate glam look! Complement your outfit with The Black Tie Crystal Ear Climbers for date night, he will have all eyes on you!","The Black-Tie Crystal Ear Climbers","VIP","Black","Earrings","Black",,"Brass","Ear climber, earring, rhinestone, crystal","N","N",730,"C181230627","Gunmetal plating over metal base with glass crystal accents","Shiny metal posts | Style # C18123","Designed in the USA",7.5,24.99,"https://www.cosmostylejewelry.com/CosmoImg/C181230627.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181230627-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181230627-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181230627-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181230627-5.JPG"
"C181240101","400","Chunky glass crystals in gunmetal, gold and silver tones, this is the ultimate glam look! Wanting to make a major fashion statement? Not to worry! The Double Take Statement Earrings will sexify your date night style and he will have all eyes on you!","The Double Take Statement Earrings","VIP","Gold","Earrings","Gold",,"Surgical Steel","Crystal, statement, rhinestone, crystal","N","N",731,"C181240627","Gold tone plating over metal base with glass crystal accents","Surgical steel posts | Style # C18124","Designed in the USA",9.5,29.99,"https://www.cosmostylejewelry.com/CosmoImg/C181240101.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181240101-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181240101-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181240101-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181240101-5.JPG"
"C181240202","400","Chunky glass crystals in gunmetal, gold and silver tones, this is the ultimate glam look! Wanting to make a major fashion statement? Not to worry! The Double Take Statement Earrings will sexify your date night style and he will have all eyes on you!","The Double Take Statement Earrings","VIP","Silver","Earrings","Silver",,"Surgical Steel","Crystal, statement, rhinestone, crystal","N","N",731,"C181240627","Silver tone plating over metal base with glass crystal accents","Surgical steel posts | Style # C18124","Designed in the USA",9.5,29.99,"https://www.cosmostylejewelry.com/CosmoImg/C181240202.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181240202-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181240202-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181240202-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181240202-5.JPG"
"C181240627","400","Chunky glass crystals in gunmetal, gold and silver tones, this is the ultimate glam look! Wanting to make a major fashion statement? Not to worry! The Double Take Statement Earrings will sexify your date night style and he will have all eyes on you!","The Double Take Statement Earrings","VIP","Gunmetal","Earrings","Gunmetal",,"Surgical Steel","Crystal, statement, rhinestone, crystal","N","N",731,"C181240627","Gunmetal plating over metal base with glass crystal accents","Surgical steel posts | Style # C18124","Designed in the USA",9.5,29.99,"https://www.cosmostylejewelry.com/CosmoImg/C181240627.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181240627-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181240627-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181240627-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181240627-5.JPG"
"C181250101","400","Looking for a major accessory statement to add to that date night dress? Not to worry! These pieces will give you that sexy seductive look you’ve always wanted! Pull your hair back into a soft-waved, volume-heavy ponytail which will pair perfectly with our Midnight Fringe Statement Earrings.","The Midnight Fringe Statement Earrings","VIP","Gold","Earrings","Gold",,"Surgical Steel","Metal, fringe, statement, rhinestone, crystal","N","N",732,"C181250627","Gold tone plating over metal base with glass crystal accents","Surgical steel posts | Style # C18125","Designed in the USA",9.5,29.99,"https://www.cosmostylejewelry.com/CosmoImg/C181250101.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181250101-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181250101-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181250101-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181250101-5.JPG"
"C181250206","400","Looking for a major accessory statement to add to that date night dress? Not to worry! These pieces will give you that sexy seductive look you’ve always wanted! Pull your hair back into a soft-waved, volume-heavy ponytail which will pair perfectly with our Midnight Fringe Statement Earrings.","The Midnight Fringe Statement Earrings","VIP","Silver","Earrings","Gunmetal",,"Surgical Steel","Metal, fringe, statement, rhinestone, crystal","N","N",732,"C181250627","Silver tone plating over metal base with glass crystal accents","Surgical steel posts | Style # C18125","Designed in the USA",9.5,29.99,"https://www.cosmostylejewelry.com/CosmoImg/C181250206.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181250206-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181250206-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181250206-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181250206-5.JPG"
"C181250627","400","Looking for a major accessory statement to add to that date night dress? Not to worry! These pieces will give you that sexy seductive look you’ve always wanted! Pull your hair back into a soft-waved, volume-heavy ponytail which will pair perfectly with our Midnight Fringe Statement Earrings.","The Midnight Fringe Statement Earrings","VIP","Black","Earrings","Black",,"Surgical Steel","Metal, fringe, statement, rhinestone, crystal","N","N",732,"C181250627","Shiny black plating over metal base with glass crystal accents","Surgical steel posts | Style # C18125","Designed in the USA",9.5,29.99,"https://www.cosmostylejewelry.com/CosmoImg/C181250627.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181250627-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181250627-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181250627-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181250627-5.JPG"
"C181260102","400","Chunky rhinestones and dainty sparkles- the combination she has been looking for to complement so many of her favorite outfits. Layer up with a little bit of glitz and more so glam with a stack of The Black Tie Crystal Bangles.","The Black-Tie Crystal Bangle","VIP","Gold","Bracelets","Gold","","Brass","Cuff, Bangle, Open, Adjustable, Crystal, Dainty","N","N",710,"C181260627","Gold tone plating over metal base with glass crystal accents","Adjustable | Style # C18126","Designed In The USA",5.5,19.99,"https://www.cosmostylejewelry.com/CosmoImg/C181260102.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181260102-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181260102-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181260102-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181260102-5.JPG"
"C181260202","400","Chunky rhinestones and dainty sparkles- the combination she has been looking for to complement so many of her favorite outfits. Layer up with a little bit of glitz and more so glam with a stack of The Black Tie Crystal Bangles.","The Black-Tie Crystal Bangle","VIP","Silver","Bracelets","Silver",,"Brass","Cuff, bangle, open, adjustable, crystal, dainty","N","N",710,"C181260627","Silver tone plating over metal base with glass crystal accents","Adjustable | Style # C18126","Designed in the USA",5.5,19.99,"https://www.cosmostylejewelry.com/CosmoImg/C181260202.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181260202-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181260202-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181260202-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181260202-5.JPG"
